,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,HT/WT,DOB,DRAFT_STATUS
399,Matthew Stafford,UGA,2008,78.6,35.7,496,49.8,68.9,-5.8,-13.5,0.1,67.9,"6' 3"", 220 lbs",2/7/1988 (32),"2009: Rd 1, Pk 1 (DET)"
400,Kellen Moore,BSU,2008,77.5,59.0,492,68.5,72.5,-2.6,-7.2,5.8,77.7,na,7/5/1988,na
401,Daryll Clark,PSU,2008,77.4,36.8,424,44.0,42.1,5.5,-7.6,4.0,71.1,na,na,na
402,Graham Harrell,TTU,2008,77.3,87.8,713,93.2,101.1,3.8,-11.4,-0.3,78.2,na,5/22/1985,na
403,Max Hall,BYU,2008,75.7,60.7,589,70.7,80.8,3.4,-15.5,1.8,74.5,na,10/1/1985,na
404,Terrelle Pryor Sr.,OSU,2008,75.3,22.2,314,30.7,25.3,19.6,-13.7,-0.2,67.6,na,6/20/1989,na
405,Jeremiah Masoli,ORE,2008,74.0,18.7,393,32.1,17.9,22.3,-8.0,0.0,62.1,na,8/24/1988,na
406,Nate Davis,BALL,2008,73.6,74.9,497,81.9,70.6,18.9,-10.0,2.5,82.7,na,5/25/1987,"2009: Rd 5, Pk 171 (SF)"
407,Jevan Snead,MISS,2008,72.6,17.2,416,32.4,49.0,-4.3,-12.3,0.0,60.6,na,9/2/1987,na
408,Todd Reesing,KU,2008,71.3,49.8,643,62.1,76.0,5.2,-20.6,1.5,69.1,na,na,na
409,Pat White,WVU,2008,70.8,25.1,487,43.5,26.9,25.1,-10.6,2.0,63.1,na,2/25/1986,"2009: Rd 2, Pk 44 (MIA)"
410,Matt Grothe,USF,2008,70.7,37.1,564,57.5,49.5,28.2,-19.8,-0.3,66.5,na,na,na
411,Case Keenum,HOU,2008,70.3,74.3,714,85.1,91.9,12.4,-17.9,-0.9,74.7,"6' 1"", 215 lbs",2/17/1988 (32),na
412,Robert Griffin III,BAY,2008,69.6,23.6,479,37.0,30.9,24.8,-19.4,0.6,62.5,"6' 2"", 213 lbs",2/12/1990 (30),"2012: Rd 1, Pk 2 (WSH)"
413,Russell Wilson,NCST,2008,69.5,12.2,418,30.9,38.5,11.6,-18.3,-1.2,57.5,"5' 11"", 215 lbs",11/29/1988 (31),"2012: Rd 3, Pk 75 (SEA)"
414,Andy Dalton,TCU,2008,69.1,26.6,451,38.3,35.1,11.5,-7.7,-0.6,64.9,"6' 2"", 220 lbs",10/29/1987 (32),"2011: Rd 2, Pk 35 (CIN)"
415,Joe Ganz,NEB,2008,68.5,31.9,555,47.8,64.9,-2.1,-14.2,-0.7,64.5,na,na,na
416,Drew Willy,BUFF,2008,66.5,43.6,573,63.4,76.7,0.6,-19.8,6.1,68.8,na,11/13/1986,na
417,David Johnson,UCF,2008,66.4,48.0,543,59.6,79.0,-8.0,-13.3,1.7,71.5,na,na,na
418,Trevor Vittatoe,UTEP,2008,65.9,41.8,504,51.1,56.8,7.2,-16.5,3.6,70.3,na,1/4/1988,na
419,Colin Kaepernick,NEV,2008,65.6,40.3,593,56.7,35.5,30.3,-10.9,1.7,66.9,na,11/3/1987,"2011: Rd 2, Pk 36 (SF)"
420,Willie Tuitama,ARIZ,2008,65.5,14.9,473,31.6,51.0,-1.0,-19.1,0.7,58.1,na,na,na
421,Mike Teel,RUTG,2008,65.4,23.9,460,38.5,41.8,5.8,-12.2,3.2,63.2,na,1/6/1986,"2009: Rd 6, Pk 178 (SEA)"
422,Dan LeFevour,CMU,2008,65.1,43.7,573,65.0,64.8,10.4,-13.4,2.9,68.8,na,3/19/1987,"2010: Rd 6, Pk 181 (CHI)"
423,Josh Freeman,KSU,2008,64.6,31.0,530,40.1,29.0,20.6,-11.2,1.6,64.8,na,1/13/1988,"2009: Rd 1, Pk 17 (TB)"
424,Omar Clayton,UNLV,2008,64.4,18.0,356,30.9,36.7,-1.9,-5.4,1.4,62.9,na,na,na
425,Greg Alexander,HAW,2008,63.2,18.0,363,28.0,31.7,12.0,-15.8,0.0,62.6,na,na,na
426,Michael Desormeaux,ULL,2008,63.2,36.7,428,45.8,23.9,30.5,-8.1,-0.5,70.9,na,9/29/1985,na
427,Brian Johnson,UTAH,2008,62.7,19.6,547,39.8,63.0,-5.2,-18.1,-0.1,59.2,na,na,na
428,John Parker Wilson,ALA,2008,61.5,-0.5,434,16.5,27.3,2.5,-16.2,2.9,49.7,na,10/17/1985,na
429,Austin Davis,USM,2008,60.4,19.7,651,42.4,40.9,17.6,-17.8,1.9,57.8,na,6/2/1989,na
430,Billy Farris,CSU,2008,59.4,20.5,465,38.1,48.3,-0.8,-11.9,2.5,61.2,na,3/2/1985,na
431,Adam DiMichele,TEM,2008,59.2,20.7,315,34.2,39.4,6.2,-12.4,1.0,66.4,na,7/26/1985,na
432,Tavita Pritchard,STAN,2008,59.0,-11.1,358,5.2,13.5,-1.0,-11.3,4.1,42.0,na,na,na
433,Tony Pike,CIN,2008,58.6,10.2,420,26.4,36.8,1.9,-11.1,-1.2,56.3,na,3/10/1986,"2010: Rd 6, Pk 204 (CAR)"
434,Tyler Sheehan,BGSU,2008,58.4,30.2,539,47.9,53.9,7.6,-14.9,1.5,64.2,na,11/17/1987,na
435,Lyle Moevao,ORST,2008,58.1,-4.5,433,13.0,31.0,-3.9,-13.9,-0.1,47.3,na,na,na
436,Jerrod Johnson,TA&M,2008,58.1,8.6,472,23.2,32.0,11.0,-20.9,1.2,54.7,na,7/27/1988,na
437,Jimmy Clausen,ND,2008,58.1,7.5,543,28.8,42.2,-4.4,-14.1,5.1,53.6,na,9/21/1987,"2010: Rd 2, Pk 48 (CAR)"
438,Christian Ponder,FSU,2008,58.0,-0.8,482,19.8,16.5,14.5,-13.2,1.7,49.6,na,2/25/1988,"2011: Rd 1, Pk 12 (MIN)"
439,Andy Schmitt,EMU,2008,57.4,25.9,507,42.5,36.4,10.0,-7.7,3.9,63.0,na,na,na
440,Julian Edelman,KENT,2008,57.1,32.9,532,47.0,14.9,46.0,-13.2,-0.7,65.5,"5' 10"", 198 lbs",5/22/1986 (34),"2009: Rd 7, Pk 232 (NE)"
441,Tim Hiller,WMU,2008,56.1,38.2,624,55.6,66.3,-5.9,-7.5,2.2,65.4,na,12/13/1986,na
442,Joe Webb III,UAB,2008,55.8,13.1,597,34.2,23.0,25.0,-11.8,-1.9,55.7,na,11/14/1986,"2010: Rd 6, Pk 199 (MIN)"
443,Juice Williams,ILL,2008,55.7,6.5,582,28.9,34.4,10.8,-16.9,0.7,52.9,na,na,na
444,Robert Marve,MIAMI,2008,55.5,-9.7,296,4.0,5.4,6.1,-8.4,0.9,41.6,na,na,na
445,Adam Weber,MINN,2008,54.6,4.0,576,27.2,42.6,5.6,-20.2,-0.9,51.8,na,8/3/1987,na
446,Arkelon Hall,MEM,2008,54.6,16.0,434,33.5,31.5,1.7,-6.1,6.5,59.5,na,na,na
447,Kinsmon Lancaster,ULM,2008,54.5,13.4,482,30.0,22.1,21.3,-14.9,1.5,57.2,na,na,na
448,C.J. Bacher,NW,2008,54.5,5.2,525,27.5,31.4,4.4,-9.7,1.6,52.6,na,na,na
449,Casey Dick,ARK,2008,54.1,-3.3,475,17.4,29.2,10.3,-22.6,0.5,48.2,na,na,na
450,Thaddeus Lewis,DUKE,2008,54.1,2.5,452,22.0,35.2,1.0,-13.8,-0.5,51.5,na,11/19/1987,na
451,Tom Brandstater,FRES,2008,53.6,8.1,458,28.0,35.9,0.8,-11.6,3.0,54.6,na,10/21/1984,"2009: Rd 6, Pk 174 (DEN)"
452,Brian Hoyer,MSU,2008,53.3,-13.1,445,7.2,20.7,-3.5,-16.0,6.2,42.4,"6' 2"", 216 lbs",10/13/1985 (34),na
453,Riley Skinner,MD/WAKE,2008,52.0,-7.4,504,15.5,38.5,-4.9,-20.5,2.0,46.2,na,na,na
454,Chris Crane,BC,2008,51.5,-15.4,425,4.6,7.4,-4.4,-4.7,6.2,40.7,na,4/18/1986,na
455,Boo Jackson,OHIO,2008,51.5,13.7,432,31.8,39.2,8.5,-13.7,-2.3,58.1,na,na,na
456,Tyson Lee,MSST,2008,51.5,-8.8,343,6.2,14.1,6.6,-14.5,0.0,43.4,na,na,na
457,Chris Turner,MD,2008,50.9,-15.8,454,4.8,21.4,1.4,-17.9,-0.2,41.1,na,na,na
458,Curtis Painter,PUR,2008,50.6,-6.3,451,12.0,18.8,-1.7,-7.9,2.7,46.4,na,6/24/1985,"2009: Rd 6, Pk 201 (IND)"
459,Marc Verica,UVA,2008,50.4,-21.3,410,-1.3,8.2,-1.9,-9.1,1.5,36.8,na,3/26/1988,na
460,Chris Smelley,SC,2008,50.2,-12.1,372,4.7,11.0,4.2,-11.3,0.9,41.6,na,na,na
461,Joe Craddock,MTSU,2008,50.0,3.5,487,22.4,39.2,-10.8,-7.6,1.7,51.9,na,na,na
462,Kodi Burns,AUB,2008,49.7,-8.4,289,4.8,0.0,9.2,-4.6,0.2,42.5,na,na,na
463,Tyrod Taylor,VT,2008,49.0,-13.2,350,3.4,5.7,10.8,-13.4,0.3,40.3,"6' 1"", 215 lbs",8/3/1989 (31),"2011: Rd 6, Pk 180 (BAL)"
464,Austen Arnaud,ISU,2008,48.8,-2.7,540,17.0,25.5,1.0,-9.9,0.5,48.7,na,na,na
465,Chandler Harnish,NIU,2008,48.3,11.4,340,23.2,13.7,13.6,-4.1,0.0,58.6,na,7/28/1988,"2012: Rd 7, Pk 253 (IND)"
466,Levi Brown,TROY,2008,48.0,11.6,390,24.7,30.3,-0.4,-4.6,-0.6,57.7,na,3/11/1987,"2010: Rd 7, Pk 209 (BUF)"
467,Patrick Pinkney,ECU,2008,47.9,-3.7,486,17.8,47.6,-14.4,-14.0,-1.4,48.1,na,na,na
468,Cullen Harper,CLEM,2008,46.8,-20.8,460,1.1,22.5,-6.7,-16.7,2.1,38.5,na,na,na
469,Rusty Smith,FAU,2008,46.7,5.0,512,25.5,40.4,-3.9,-13.1,1.9,52.5,na,1/28/1987,"2010: Rd 6, Pk 176 (TEN)"
470,Chase Holbrook,NMSU,2008,46.5,4.5,583,26.8,61.1,-10.5,-23.3,-0.2,52.0,na,na,na
471,Hunter Cantwell,LOU,2008,45.6,-9.0,466,10.8,18.5,1.4,-11.2,2.1,45.0,na,12/30/1985,na
472,Rudy Carpenter,ASU,2008,44.9,-21.8,450,-0.2,27.0,-3.5,-24.1,0.5,37.7,na,4/15/1986,na
473,Chris Jacquemain,AKR,2008,44.8,-2.5,492,18.6,31.8,2.1,-13.6,-1.1,48.7,na,na,na
474,Kevin Riley,CAL,2008,44.8,-18.1,288,-3.2,5.9,-0.5,-10.7,2.2,34.2,na,na,na
475,Joshua Nesbitt,GT,2008,44.8,-23.7,318,-6.9,3.1,-1.5,-8.4,-0.6,31.5,na,4/15/1988,na
476,Ricky Stanzi,IOWA,2008,44.8,-12.3,345,3.7,23.1,-5.8,-14.9,1.0,40.8,na,9/3/1987,"2011: Rd 5, Pk 135 (KC)"
477,Jarrett Lee,LSU,2008,43.4,-25.6,312,-8.1,-1.4,-1.7,-5.0,0.1,29.9,na,6/2/1989,na
478,Bill Stull,PITT,2008,42.8,-14.9,401,3.9,20.1,-1.0,-17.9,2.8,40.4,na,12/18/1986,na
479,Cody Hawkins,COLO,2008,41.5,-13.1,404,5.4,19.0,-1.3,-11.9,-0.6,41.7,na,na,na
480,Daniel Raudabaugh,M-OH,2008,41.4,-13.8,392,4.3,16.7,-5.8,-6.0,-0.6,41.0,na,na,na
481,Giovanni Vizza,UNT,2008,40.7,-9.8,631,13.3,24.4,0.8,-11.4,-0.4,46.0,na,na,na
482,Ryan Lindley,SDSU,2008,40.3,-10.2,503,10.5,17.8,-2.7,-7.5,3.2,44.7,na,6/22/1989,"2012: Rd 6, Pk 185 (ARI)"
483,Aaron Opelt,TOL,2008,39.9,-8.1,456,11.2,20.2,2.4,-13.1,1.8,45.4,na,na,na
484,Kellen Lewis,IU,2008,39.8,-9.7,298,3.6,0.3,13.0,-8.6,-1.1,41.7,na,na,na
485,Corey Leonard,ARST,2008,39.2,-4.2,511,17.2,30.2,6.0,-20.2,1.4,47.9,na,na,na
486,Chris Nickson,VAN,2008,39.0,-19.8,265,-6.2,-10.5,12.1,-8.9,1.1,31.5,na,na,na
487,Paul McCall,FIU,2008,39.0,-11.1,444,8.6,21.2,0.5,-13.8,0.6,43.5,na,na,na
488,Mike Hartline,UK,2008,37.8,-24.4,359,-6.2,0.8,-3.0,-4.1,0.0,33.0,na,6/13/1988,na
489,Kevin Moore,TULN,2008,36.6,-15.8,392,2.3,11.9,-3.1,-7.1,0.7,39.7,na,na,na
490,Kevin Craft,UCLA,2008,35.8,-53.2,552,-22.3,0.6,-1.3,-22.5,0.9,26.9,na,na,na
491,Bo Levi Mitchell,SMU,2008,35.0,-21.1,490,1.9,20.1,-3.7,-14.9,0.4,39.0,na,na,na
492,Diondre Borel,USU,2008,34.7,-18.0,452,2.4,5.2,12.1,-15.0,-0.3,39.8,na,12/12/1988,na
493,Mark Cann,MRSH,2008,32.9,-26.2,381,-7.0,4.0,-3.9,-7.4,0.3,32.9,na,na,na
494,Cameron Dantley,SYR,2008,32.0,-31.1,326,-13.0,6.0,-2.4,-16.7,0.1,27.1,na,na,na
495,Steven Threet,MICH,2008,30.0,-30.6,298,-14.3,-9.5,1.2,-10.1,4.3,25.6,na,na,na
496,Brad Gruner,UNM,2008,29.6,-23.1,285,-7.0,2.7,-5.3,-4.2,0.1,30.1,na,na,na
497,Ronnie Fouch,WASH,2008,29.3,-42.5,332,-17.8,-7.3,-1.6,-13.1,4.2,20.9,na,na,na
498,Nathan Enderle,IDHO,2008,28.4,-32.9,450,-7.5,6.6,0.4,-16.0,1.5,31.9,na,1/12/1988,"2011: Rd 5, Pk 160 (CHI)"
499,Kyle Reed,SJSU,2008,26.9,-33.0,377,-13.1,14.4,-9.0,-17.2,-1.2,28.7,na,na,na
500,Ross Jenkins,LT,2008,26.6,-19.9,265,-6.3,7.7,1.4,-15.6,0.2,31.4,na,na,na
501,David Wolke,WKU,2008,17.6,-36.2,346,-15.5,-11.0,4.7,-9.4,0.2,25.2,na,na,na
502,Rob Calabrese,UCF,2008,8.2,-57.8,262,-41.0,-15.5,-9.3,-16.5,0.3,9.2,na,na,na
503,Chip Bowden,ARMY,2008,6.9,-57.3,274,-37.9,-3.8,-29.5,-4.3,-0.3,10.2,na,na,na
504,Colin Kaepernick,NEV,2009,80.8,81.5,480,78.5,31.6,55.5,-7.8,-0.8,85.4,na,11/3/1987,"2011: Rd 2, Pk 36 (SF)"
505,Andrew Luck,STAN,2009,80.0,40.7,393,49.4,37.3,15.4,-4.2,0.6,74.6,na,9/12/1989,"2012: Rd 1, Pk 1 (IND)"
506,Tyrod Taylor,VT,2009,79.7,31.9,387,44.2,43.0,15.8,-17.2,2.7,70.2,"6' 1"", 215 lbs",8/3/1989 (31),"2011: Rd 6, Pk 180 (BAL)"
507,Case Keenum,HOU,2009,79.7,103.1,805,117.2,108.7,17.8,-10.5,1.3,79.1,"6' 1"", 215 lbs",2/17/1988 (32),na
508,Max Hall,BYU,2009,77.3,60.2,539,69.8,79.4,3.3,-12.2,-0.7,76.1,na,10/1/1985,na
509,Bill Stull,PITT,2009,76.8,37.6,371,49.1,57.2,1.9,-10.4,0.1,74.1,na,12/18/1986,na
510,Russell Wilson,NCST,2009,76.5,45.8,521,60.5,54.4,18.5,-18.9,6.4,71.4,"5' 11"", 215 lbs",11/29/1988 (31),"2012: Rd 3, Pk 75 (SEA)"
511,Tim Tebow,FLA,2009,75.8,36.6,567,50.4,42.4,27.4,-18.2,-1.2,66.2,na,8/14/1987,"2010: Rd 1, Pk 25 (DEN)"
512,Tony Pike,CIN,2009,74.7,34.2,396,42.4,45.1,3.6,-7.0,0.5,71.1,na,3/10/1986,"2010: Rd 6, Pk 204 (CAR)"
513,Kirk Cousins,MSU,2009,74.1,26.3,391,39.9,42.9,1.1,-7.2,3.2,66.8,"6' 3"", 202 lbs",8/19/1988 (32),"2012: Rd 4, Pk 102 (WSH)"
514,Colt McCoy,TEX,2009,73.9,39.2,645,57.3,58.6,12.1,-18.3,4.9,65.3,"6' 1"", 212 lbs",9/5/1986 (34),"2010: Rd 3, Pk 85 (CLE)"
515,Christian Ponder,FSU,2009,73.3,34.3,446,52.0,52.4,13.5,-17.1,3.1,69.0,na,2/25/1988,"2011: Rd 1, Pk 12 (MIN)"
516,Andy Dalton,TCU,2009,73.3,37.1,478,47.5,42.9,10.4,-8.1,2.4,69.1,"6' 2"", 220 lbs",10/29/1987 (32),"2011: Rd 2, Pk 35 (CIN)"
517,Jerrod Johnson,TA&M,2009,73.1,48.1,701,59.1,48.6,24.7,-15.0,0.8,67.1,na,7/27/1988,na
518,Sean Canfield,ORST,2009,73.0,39.6,536,54.3,68.1,0.8,-15.7,1.0,68.3,na,11/12/1986,"2010: Rd 7, Pk 239 (NO)"
519,Dan LeFevour,CMU,2009,72.4,68.5,677,85.4,74.8,18.7,-10.3,2.2,74.1,na,3/19/1987,"2010: Rd 6, Pk 181 (CHI)"
520,Greg McElroy,ALA,2009,72.1,13.6,418,30.3,38.9,-0.1,-10.7,2.2,58.4,na,5/10/1988,"2011: Rd 7, Pk 208 (NYJ)"
521,Ryan Mallett,ARK,2009,72.0,15.2,506,32.7,50.1,-1.8,-15.6,0.1,57.8,na,6/5/1988,"2011: Rd 3, Pk 74 (NE)"
522,Kellen Moore,BSU,2009,70.5,52.9,508,62.0,68.3,-6.2,-3.7,3.4,74.7,na,7/5/1988,na
523,Joe Cox,UGA,2009,70.3,10.2,421,27.8,37.6,-0.1,-10.7,0.8,56.3,na,na,na
524,Rusty Smith,FAU,2009,69.9,20.1,295,31.0,31.2,1.3,-4.9,3.4,67.0,na,1/28/1987,"2010: Rd 6, Pk 176 (TEN)"
525,Nick Foles,ARIZ,2009,69.4,21.1,479,39.5,45.7,-3.0,-6.2,3.3,61.3,"6' 6"", 253 lbs",1/20/1989 (31),"2012: Rd 3, Pk 88 (PHI)"
526,Daryll Clark,PSU,2009,68.0,25.2,509,41.0,45.8,3.1,-9.8,1.9,62.6,na,na,na
527,Levi Brown,TROY,2009,67.7,57.9,613,70.8,85.4,-1.5,-15.1,1.9,72.7,na,3/11/1987,"2010: Rd 7, Pk 209 (BUF)"
528,Jimmy Clausen,ND,2009,67.7,28.9,535,49.7,73.2,-12.1,-13.9,2.7,63.7,na,9/21/1987,"2010: Rd 2, Pk 48 (CAR)"
529,Scott Tolzien,WISC,2009,67.2,19.9,411,33.8,49.7,-2.0,-13.0,-0.8,62.3,na,9/4/1987,na
530,Terrelle Pryor Sr.,OSU,2009,67.0,20.1,496,36.8,23.4,30.0,-15.6,-1.1,60.4,na,6/20/1989,na
531,Jonathan Crompton,TENN,2009,66.9,5.1,471,22.7,36.4,-1.4,-12.8,0.5,52.8,na,7/25/1987,"2010: Rd 5, Pk 168 (SD)"
532,Jeremiah Masoli,ORE,2009,66.6,12.8,469,29.4,23.2,14.3,-7.9,-0.2,57.1,na,8/24/1988,na
533,Ryan Colburn,FRES,2009,66.2,29.3,398,43.4,46.1,6.1,-10.6,1.8,68.3,na,11/8/1988,na
534,Riley Skinner,WAKE,2009,64.9,31.8,516,48.0,59.4,3.8,-15.2,-0.1,65.5,na,na,na
535,Jake Locker,WASH,2009,63.9,14.1,553,34.5,39.3,15.7,-19.8,-0.8,56.6,na,6/15/1988,"2011: Rd 1, Pk 8 (TEN)"
536,Nathan Enderle,IDHO,2009,63.9,33.9,402,48.6,58.1,-2.4,-13.0,5.9,70.6,na,1/12/1988,"2011: Rd 5, Pk 160 (CHI)"
537,Mike Kafka,NW,2009,63.8,26.8,700,54.8,65.3,6.8,-20.0,2.6,59.8,na,7/25/1987,"2010: Rd 4, Pk 122 (PHI)"
538,Aaron Opelt,TOL,2009,63.5,16.1,318,23.6,22.3,4.9,-2.1,-1.8,62.8,na,na,na
539,Joe Webb III,UAB,2009,63.1,36.3,537,47.6,23.6,39.3,-15.4,0.0,66.9,na,11/14/1986,"2010: Rd 6, Pk 199 (MIN)"
540,Joey Elliott,PUR,2009,63.0,16.5,559,38.2,44.8,3.4,-9.4,-0.5,57.6,na,8/2/1986,na
541,Taylor Potts,TTU,2009,61.8,17.8,536,36.8,52.4,-1.0,-13.9,-0.7,58.5,na,10/13/1987,na
542,Martevious Young,USM,2009,61.7,18.9,330,29.5,33.9,2.7,-5.3,-1.8,64.5,na,na,na
543,Jarrett Brown,WVU,2009,61.5,13.1,445,31.9,30.0,18.7,-16.3,-0.5,57.6,na,9/21/1987,na
544,Todd Reesing,KU,2009,61.0,15.7,630,40.2,57.5,9.2,-27.1,0.4,56.4,na,na,na
545,Ben Chappell,IU,2009,60.6,11.3,501,30.5,36.9,5.3,-9.9,-1.7,55.9,na,6/2/1987,na
546,Matt Barkley,USC,2009,60.4,1.5,435,19.1,30.9,-0.7,-8.9,-2.2,50.9,"6' 2"", 234 lbs",9/8/1990 (30),"2013: Rd 4, Pk 98 (PHI)"
547,Chris Todd,AUB,2009,60.3,-1.8,407,14.8,34.3,-1.8,-16.0,-1.7,48.8,na,na,na
548,B.J. Daniels,USF,2009,59.9,15.2,425,29.9,25.5,22.9,-18.8,0.3,59.2,na,10/24/1989,"2013: Rd 7, Pk 237 (SF)"
549,Joshua Nesbitt,GT,2009,59.7,-2.4,479,18.1,23.5,2.2,-7.6,0.0,48.7,na,4/15/1988,na
550,Jordan Jefferson,LSU,2009,59.6,-9.3,451,11.1,32.6,1.9,-22.4,-0.8,44.7,na,8/25/1990,na
551,Blaine Gabbert,MIZ,2009,59.2,14.2,590,37.1,49.4,0.7,-15.2,2.4,56.2,"6' 5"", 235 lbs",10/15/1989 (30),"2011: Rd 1, Pk 10 (JAX)"
552,Nick Florence,BAY,2009,58.5,-9.9,354,5.2,17.8,-3.1,-10.6,1.0,42.8,na,na,na
553,Patrick Pinkney,ECU,2009,58.2,17.7,536,39.0,42.6,4.5,-9.3,1.2,58.5,na,na,na
554,Kyle Parker,CLEM,2009,58.1,6.5,467,24.9,26.7,5.0,-10.9,3.9,53.6,na,na,na
555,Tyler Sheehan,BGSU,2009,57.4,39.2,701,66.6,84.4,1.8,-19.2,-0.3,64.1,na,11/17/1987,na
556,Austen Arnaud,ISU,2009,56.8,10.9,479,30.3,26.1,11.2,-7.4,0.2,55.9,na,na,na
557,Kyle Padron,SMU,2009,56.8,19.6,281,27.2,37.8,4.5,-14.8,-0.2,67.4,na,3/27/1991,na
558,Jacory Harris,MIAMI,2009,55.5,-5.6,494,15.9,51.3,-9.5,-25.5,-0.5,47.1,na,5/12/1990,na
559,Dave Shinskie,BC,2009,54.2,-2.5,354,12.8,18.0,0.6,-13.1,7.3,48.2,na,na,na
560,Spencer Keith,KENT,2009,53.3,11.2,361,22.9,25.2,-1.5,-3.7,2.9,58.0,na,na,na
561,Tate Forcier,MICH,2009,52.8,-7.1,423,11.7,30.5,0.4,-17.8,-1.6,45.6,na,na,na
562,Kevin Riley,CAL,2009,52.4,-12.5,495,8.8,30.2,-6.5,-17.8,3.0,43.5,na,na,na
563,Stephen Garcia,SC,2009,51.5,-27.7,607,1.2,25.4,-0.2,-24.6,0.6,38.4,na,na,na
564,Thaddeus Lewis,DUKE,2009,51.0,0.7,572,24.9,47.9,-9.7,-16.0,2.9,50.3,na,11/19/1987,na
565,Jeff Van Camp,FAU,2009,51.0,12.5,245,18.2,22.9,3.6,-8.5,0.1,63.0,na,na,na
566,Diondre Borel,USU,2009,50.0,10.9,571,31.1,43.0,3.6,-16.9,1.3,54.9,na,12/12/1988,na
567,Omar Clayton,UNLV,2009,49.8,4.1,436,21.4,23.0,4.6,-7.5,1.4,52.4,na,na,na
568,Brian Anderson,MRSH,2009,49.8,10.2,524,30.9,37.3,3.3,-14.8,5.1,55.1,na,na,na
569,Chandler Harnish,NIU,2009,49.5,4.7,338,16.9,28.4,-6.2,-6.8,1.7,53.6,na,7/28/1988,"2012: Rd 7, Pk 253 (IND)"
570,Ross Jenkins,LT,2009,49.1,2.1,407,18.0,24.5,6.1,-13.6,1.1,51.4,na,na,na
571,Adam Froman,LOU,2009,49.1,-5.7,275,6.3,18.5,-1.6,-11.4,0.7,44.7,na,12/18/1987,na
572,Ricky Dobbs,NAVY,2009,48.9,1.6,446,20.2,15.5,15.1,-10.6,0.7,51.0,na,na,na
573,Jevan Snead,MISS,2009,48.8,-19.1,439,1.7,10.6,2.1,-11.2,0.3,38.9,na,9/2/1987,na
574,Dwight Dasher,MTSU,2009,48.7,13.2,652,34.9,24.7,22.5,-11.3,-0.8,55.3,na,na,na
575,Will Hudgens,MEM,2009,48.6,4.1,277,11.8,17.7,0.1,-5.9,-0.1,53.9,na,na,na
576,Zac Robinson,OKST,2009,48.3,-11.8,455,8.5,22.1,-5.7,-6.7,-1.2,43.3,na,9/29/1986,"2010: Rd 7, Pk 250 (NE)"
577,Landry Jones,OKLA,2009,48.1,-23.9,553,2.2,17.4,-11.3,-11.0,7.0,38.9,na,4/4/1989,"2013: Rd 4, Pk 115 (PIT)"
578,Chris Masson,ULL,2009,47.6,6.1,470,25.6,25.4,5.6,-6.4,0.9,53.4,na,na,na
579,Ryan Lindley,SDSU,2009,47.6,5.0,519,23.8,33.1,-1.3,-12.0,3.7,52.5,na,6/22/1989,"2012: Rd 6, Pk 185 (ARI)"
580,Brett Hodges,UCF,2009,47.2,5.5,407,22.8,34.0,2.4,-14.3,0.4,53.5,na,na,na
581,Ricky Stanzi,IOWA,2009,46.9,-5.2,392,12.8,27.8,2.5,-18.8,1.5,46.6,na,9/3/1987,"2011: Rd 5, Pk 135 (KC)"
582,Juice Williams,ILL,2009,46.2,-17.1,390,1.2,15.4,-2.9,-12.0,0.7,38.8,na,na,na
583,G.J. Kinne,TLSA,2009,46.2,-1.3,524,20.8,36.9,11.6,-29.1,1.5,49.4,na,12/1/1988,na
584,Zach Maynard,BUFF,2009,46.1,1.1,505,22.5,28.4,0.2,-11.7,5.5,50.6,na,na,na
585,Ryan Griffin,TULN,2009,45.8,0.6,267,9.9,20.7,-1.7,-8.7,-0.4,50.6,"6' 5"", 210 lbs",11/17/1989 (30),na
586,Trevor Vittatoe,UTEP,2009,44.6,6.2,507,26.9,48.5,-7.3,-15.8,1.3,53.2,na,1/4/1988,na
587,Grant Gregory,KSU,2009,44.3,-16.8,306,-1.6,6.8,-2.0,-8.3,1.9,36.1,na,na,na
588,Greg Paulus,SYR,2009,44.2,-9.5,361,6.6,22.9,-2.0,-14.4,0.1,43.2,na,na,na
589,Terrance Cain,UTAH,2009,43.4,-6.3,315,7.8,24.2,-6.0,-8.5,-1.9,44.9,na,na,na
590,Kevin Prince,UCLA,2009,43.2,-18.8,419,1.1,15.4,-0.6,-14.6,0.5,38.5,na,na,na
591,Austyn Carta-Samuels,WYO,2009,43.0,-4.2,515,17.3,26.0,9.0,-18.5,0.4,47.9,na,na,na
592,Riley Dodge,UNT,2009,42.6,3.6,436,22.0,27.3,0.8,-7.1,1.1,52.1,na,na,na
593,Zac Dysert,M-OH,2009,42.6,-7.4,583,16.7,28.0,21.4,-33.0,0.6,46.7,na,2/8/1990,"2013: Rd 7, Pk 234 (DEN)"
594,T.J. Yates,UNC,2009,41.7,-19.3,434,1.4,19.2,-1.2,-15.0,-1.6,38.7,na,5/28/1987,"2011: Rd 5, Pk 152 (HOU)"
595,Tyler Hansen,COLO,2009,41.7,-20.1,350,-2.7,11.4,10.1,-22.4,-2.0,35.5,na,12/6/1989,na
596,Bryant Moniz,HAW,2009,40.9,0.9,406,14.8,23.0,3.4,-11.0,-0.6,50.6,na,na,na
